snapshot_time_utc,league,type,id,name,category,details_id,divine_value,exalted_value,chaos_value,max_volume_currency,max_volume_rate,volume_primary_value,sparkline_total_change
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,essence-of-electricity,Essence of Electricity,Essences,essence-of-electricity,0.045457000000000004,2.62,3.5108,exalted,0.381,21.0,48.67
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,essence-of-flames,Essence of Flames,Essences,essence-of-flames,0.01073965,0.619,0.8294600000000001,exalted,1.62,4.33,-44.74
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,greater-essence-of-alacrity,Greater Essence of Alacrity,Essences,greater-essence-of-alacrity,0.011421505,0.6583,0.8821220000000001,exalted,1.52,113.0,-47.15
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,greater-essence-of-command,Greater Essence of Command,Essences,greater-essence-of-command,0.0241165,1.39,1.8626,exalted,0.7218,398.3,-0.87
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,greater-essence-of-enhancement,Greater Essence of Enhancement,Essences,greater-essence-of-enhancement,0.026719000000000003,1.54,2.0636,exalted,0.6495,2452,-13.37
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,greater-essence-of-flames,Greater Essence of Flames,Essences,greater-essence-of-flames,0.010559210000000001,0.6086,0.8155240000000001,exalted,1.64,65.83,-54.98
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,greater-essence-of-grounding,Greater Essence of Grounding,Essences,greater-essence-of-grounding,0.038517,2.22,2.9748000000000006,exalted,0.4495,3184,-21.81
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,greater-essence-of-ice,Greater Essence of Ice,Essences,greater-essence-of-ice,0.011182075,0.6445,0.86363,exalted,1.55,130.8,-63.13
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,greater-essence-of-insulation,Greater Essence of Insulation,Essences,greater-essence-of-insulation,0.042334000000000004,2.44,3.2696,exalted,0.4103,3203,-20.45
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,greater-essence-of-opulence,Greater Essence of Opulence,Essences,greater-essence-of-opulence,0.1195415,6.89,9.2326,exalted,0.1451,5204,136.4
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,greater-essence-of-ruin,Greater Essence of Ruin,Essences,greater-essence-of-ruin,0.0924755,5.33,7.142200000000001,exalted,0.1877,3541,130.5
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,greater-essence-of-sorcery,Greater Essence of Sorcery,Essences,greater-essence-of-sorcery,0.008586515000000001,0.4949,0.663166,exalted,2.02,121.2,-51.18
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,greater-essence-of-the-body,Greater Essence of the Body,Essences,greater-essence-of-the-body,0.008010495000000001,0.4617,0.6186780000000001,exalted,2.17,206.2,-57.51
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,perfect-essence-of-abrasion,Perfect Essence of Abrasion,Essences,perfect-essence-of-abrasion,0.028801,1.66,2.2244,exalted,0.6022,431.2,-70.7
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,perfect-essence-of-battle,Perfect Essence of Battle,Essences,perfect-essence-of-battle,0.2666695,15.37,20.5958,exalted,0.06506,16525,-52.93
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,perfect-essence-of-electricity,Perfect Essence of Electricity,Essences,perfect-essence-of-electricity,0.021687500000000002,1.25,1.675,exalted,0.7983,60.33,-76.35
2026-06-01T07:05:02+00:00,Runes of Aldur,Essences,perfect-essence-of-enhancement,Perfect Essence of Enhancement,Essences,perfect-essence-of-enhancement,0.0310565,1.79,2.3986,exalted,0.5593,792.0,-47.64
